,Plate,Row,Column,Rep,Acetate,Butyrate,Succinate,Lactate,Treatment,OD,Total,PC Reads,PC Fraction,PC,PJ Reads,PJ Fraction,PJ,BV Reads,BV Fraction,BV,BF Reads,BF Fraction,BF,BO Reads,BO Fraction,BO,BT Reads,BT Fraction,BT,BC Reads,BC Fraction,BC,BY Reads,BY Fraction,BY,BU Reads,BU Fraction,BU,DP Reads,DP Fraction,DP,BL Reads,BL Fraction,BL,BA Reads,BA Fraction,BA,BP Reads,BP Fraction,BP,CA Reads,CA Fraction,CA,EL Reads,EL Fraction,EL,FP Reads,FP Fraction,FP,CH Reads,CH Fraction,CH,AC Reads,AC Fraction,AC,BH Reads,BH Fraction,BH,CG Reads,CG Fraction,CG,ER Reads,ER Fraction,ER,RI Reads,RI Fraction,RI,CC Reads,CC Fraction,CC,DL Reads,DL Fraction,DL,DF Reads,DF Fraction,DF
0,1,A,1,1,35.58607196,35.0863841,27.63758724,3.45762933,BV-BF-BL-CA-FP-CH-AC-BH-ER-RI-DF,2.034,12267,1,8.16E-05,0,0,0,0,437,0.035673469,1,993,0.081061224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0.003428571,1,1,8.16E-05,0,0,0,0,1328,0.108408163,1,1,8.16E-05,0,18,0.001469388,1,1479,0.120734694,1,3565,0.291020408,1,14,0.001142857,1,0,0,0,710,0.057959184,1,4,0.000326531,1,0,0,0,0,0,0,3657,0.298530612,1
1,1,B,1,1,30.00643972,49.63977614,12.01187724,2.71206186,PJ-BY-BU-EL-FP-CH-AC-BH-CG-CC-DF,2.144,12913,1,7.77E-05,0,1018,0.079141724,1,0,0,0,1,7.77E-05,0,1,7.77E-05,0,1,7.77E-05,0,2,0.000155485,0,2540,0.197465599,1,1686,0.131073622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0.013293944,1,6,0.000466454,1,351,0.027287569,1,1976,0.153618907,1,22,0.001710332,1,1536,0.119412268,1,1,7.77E-05,0,0,0,0,2683,0.208582757,1,0,0,0,867,0.067402628,1
2,1,C,1,1,24.9037725,46.5592565,12.86014392,1.95565494,BV-BY-BL-BA-EL-FP-AC-BH-CG-ER-DF,1.953,12701,0,0,0,0,0,0,535,0.042165826,1,1,7.88E-05,0,1,7.88E-05,0,0,0,0,3,0.000236444,0,721,0.056825347,1,1,7.88E-05,0,0,0,0,43,0.003389029,1,2146,0.169136192,1,0,0,0,0,0,0,59,0.004650063,1,10,0.000788146,1,0,0,0,3125,0.246295712,1,6,0.000472888,1,565,0.044530265,1,910,0.071721311,1,0,0,0,2,0.000157629,0,0,0,0,4560,0.359394704,1
3,1,D,1,1,29.5486183,46.6518908,8.52980932,1.44877254,PJ-BY-BL-BA-CA-EL-CH-AC-BH-RI-DF,2.298,13141,2,0.000152323,0,729,0.055521706,1,0,0,0,3,0.000228484,0,5,0.000380807,0,1,7.62E-05,0,0,0,0,2051,0.156207159,1,2,0.000152323,0,0,0,0,52,0.003960396,1,2356,0.179436405,1,0,0,0,271,0.020639756,1,205,0.0156131,1,0,0,0,793,0.06039604,1,2846,0.216755522,1,32,0.002437167,1,0,0,0,0,0,0,1,7.62E-05,1,0,0,0,0,0,0,3781,0.287966489,1
4,1,E,1,1,26.5478961,42.50789138,12.72151536,1.52915973,PJ-BY-BU-BL-EL-FP-CH-AC-BH-RI-DL,1.997,14386,0,0,0,1127,0.078706614,1,0,0,0,2,0.000139675,0,0,0,0,0,0,0,0,0,0,2283,0.159438508,1,1890,0.131992458,1,0,0,0,92,0.00642503,1,1,6.98E-05,0,1,6.98E-05,0,1,6.98E-05,0,116,0.008101124,1,12,0.000838047,1,962,0.067183463,1,5151,0.359731825,1,33,0.00230463,1,2,0.000139675,0,0,0,0,10,0.000698373,1,0,0,0,2633,0.183881556,1,3,0.000209512,0
5,1,F,1,1,41.77846264,42.84962552,9.54511384,1.45413321,BF-BU-DP-BL-BA-CA-EL-FP-AC-CG-RI,1.978,10237,0,0,0,0,0,0,0,0,0,2113,0.206488811,1,0,0,0,0,0,0,2,0.000195446,0,1,9.77E-05,0,1485,0.145118734,1,521,0.050913711,1,62,0.006058829,1,2288,0.223590345,1,0,0,0,612,0.059806508,1,110,0.010749536,1,6,0.000586338,1,0,0,0,1671,0.163295221,1,0,0,0,1354,0.132317014,1,0,0,0,4,0.000390892,1,2,0.000195446,0,0,0,0,1,9.77E-05,0
6,1,G,1,1,36.2103685,39.83716046,21.40021912,0,PJ-BV-BO-BU-CA-CH-AC-BH-CG-RI-DL-DF,2.523,12122,0,0,0,163,0.013500083,1,159,0.013168792,1,1,8.28E-05,0,932,0.077190658,1,0,0,0,0,0,0,1,8.28E-05,0,229,0.018966374,1,0,0,0,0,0,0,1,8.28E-05,0,0,0,0,725,0.060046381,1,0,0,0,1,8.28E-05,0,1011,0.083733643,1,4785,0.396306112,1,4,0.00033129,1,170,0.014079841,1,0,0,0,2,0.000165645,1,0,0,0,3001,0.248550605,1,888,0.073546463,1
7,1,H,1,1,38.3658414,33.10341014,9.94325988,20.92939779,BV-BY-BU-BL-BA-BP-CA-EL-CH-AC-CG-DF,2.499,13156,0,0,0,0,0,0,275,0.020947593,1,0,0,0,1,7.62E-05,0,0,0,0,0,0,0,865,0.065889701,1,561,0.04273309,1,0,0,0,78,0.005941499,1,1686,0.128427788,1,726,0.055301645,1,961,0.073202316,1,75,0.00571298,1,0,0,0,539,0.041057282,1,5280,0.402193784,1,0,0,0,373,0.028412553,1,0,0,0,0,0,0,0,0,0,0,0,0,1708,0.130103595,1
8,1,A,2,1,37.18633594,41.7700424,24.9796672,2.96549925,PC-PJ-BV-BL-BA-CA-FP-AC-BH-CG-DF,1.998,11388,4252,0.374229889,1,301,0.026491815,1,343,0.030188347,1,1,8.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.80E-05,0,0,0,0,19,0.001672241,1,755,0.066449569,1,1,8.80E-05,0,436,0.038373526,1,0,0,0,13,0.001144165,1,0,0,0,3878,0.341313149,1,3,0.000264038,1,439,0.038637564,1,1,8.80E-05,0,0,0,0,1,8.80E-05,0,0,0,0,918,0.080795635,1
9,1,B,2,1,31.68597156,40.13827688,11.91711904,2.09635062,PJ-BO-BY-BU-BL-BA-CA-FP-CH-AC-RI-DF,1.843,11195,0,0,0,286,0.025585972,1,0,0,0,0,0,0,907,0.081141528,1,0,0,0,0,0,0,223,0.019949902,1,299,0.026748971,1,0,0,0,36,0.003220612,1,741,0.066290929,1,0,0,0,697,0.062354625,1,0,0,0,25,0.002236536,1,725,0.064859546,1,3016,0.269815709,1,0,0,0,2,0.000178923,0,0,0,0,3,0.000268384,1,0,0,0,0,0,0,4218,0.377348363,1
