Experiments,Time,ER_OD,FP_OD,AC_OD,CC_OD,RI_OD,DP_OD,BH_OD,CA_OD,PC_OD,DL_OD,CG_OD,BF_OD,EL_OD,CH_OD,BO_OD,BT_OD,BU_OD,BV_OD,BC_OD,BY_OD,PJ_OD,DF_OD,BL_OD,BP_OD,BA_OD,Butyrate,Acetate,Lactate,Succinate
AC,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
AC,48.0,0.0,0.0,1.0209364792358295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.478250000000003,4.6095500000000005,19.788249999999998,3.85705
AC_BA,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,28.0,0.0
AC_BA,48.0,0.0,0.0,0.5343006248884127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8440404081466727,46.5696,16.7715,10.611,5.1753
AC_BA_BC_BF_BH_BL_BO_BP_BT_BU_BV_BY_CA_CC_CG_CH_DF_DL_DP_EL_ER_FP_PC_PJ_RI,0.0,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BH_BL_BO_BP_BT_BU_BV_BY_CA_CC_CG_CH_DF_DL_DP_EL_ER_FP_PC_PJ_RI,48.0,0.019700936994000003,0.000140780826,0.595549527546,0.045924497207999994,0.0,0.002039483868,7.04052e-05,0.00114909609,0.0,0.006748292484,0.060110302505999996,0.15419508245400002,0.00215557758,0.016630285475999998,0.114285791256,0.242638632684,0.012414208319999998,0.017343366276,0.25764994204200004,0.06878281083599999,0.025191381576,0.03629836872,0.0037251804659999997,0.20217640778999998,0.065079657066,16.74796943,43.975914745,40.11603348,14.56126273
AC_BA_BC_BF_BH_BL_BO_BP_BT_BU_BV_BY_CA_CC_CG_CH_DF_DL_EL_ER_FP_PC_PJ_RI,0.0,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.0,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.00027499999999999996,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BH_BL_BO_BP_BT_BU_BV_BY_CA_CC_CG_CH_DF_DL_EL_ER_FP_PC_PJ_RI,48.0,0.013609539044999999,0.0005838182519999999,0.6196757825579999,0.059597472395999995,0.00047593611599999996,0.0,0.000362985864,0.049422531978,0.0,0.025558626459,0.058275359988,0.166415382936,0.0025853077889999997,0.002741456202,0.10309226325899999,0.22346251676099999,0.006037529462999999,0.01195438911,0.25450117465800004,0.074524752534,0.023666461095,0.050836063497,0.003792282795,0.17548230163200002,0.104346065613,32.083081905,36.77584564,19.185250585,17.346756355
AC_BA_BC_BF_BH_BL_BO_BP_BU_BV_BY_CA_CC_CG_DF_DL_DP_EL_ER_FP_PC_PJ_RI,0.0,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0,0.0002869565217391304,0.0,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0002869565217391304,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BH_BL_BO_BP_BU_BV_BY_CA_CC_CG_DF_DL_DP_EL_ER_FP_PC_PJ_RI,48.0,0.08207278763972345,0.000725902586204493,0.6210145058520432,0.09495118162630263,0.00036295129310229274,0.002640246523680172,0.0004979373598205256,0.014216932274937802,0.008161921422021745,0.4442836162645909,0.03695873726499991,0.16836600472995675,0.00922198501887284,0.0,0.07995076620024841,0.0,0.019824978020646748,0.036370177778776214,0.18652678600966952,0.041856454082363576,0.034298665804424734,0.06109476686255959,0.016494227505515918,0.34562172771391286,0.2329246139285927,18.189999999999998,40.175,49.5,7.71
