,Community,Time,Richness,Contamination,PC,PC_OD,PJ,PJ_OD,BV,BV_OD,BF,BF_OD,BO,BO_OD,BT,BT_OD,BC,BC_OD,BY,BY_OD,BU,BU_OD,DP,DP_OD,BL,BL_OD,BA,BA_OD,BP,BP_OD,CA,CA_OD,EL,EL_OD,FP,FP_OD,CH,CH_OD,AC,AC_OD,BH,BH_OD,CG,CG_OD,ER,ER_OD,RI,RI_OD,CC,CC_OD,DL,DL_OD,DF,DF_OD,OD,Butyrate,Acetate,Lactate,Succinate
0,PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,0.0,14.0,No,1.0,0.0004714285714285714,0.0,0.0,1.0,0.0004714285714285714,0.0,0.0,0.0,0.0,1.0,0.0004714285714285714,1.0,0.0004714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004714285714285714,0.0,0.0,1.0,0.0004714285714285714,1.0,0.0004714285714285714,1.0,0.0004714285714285714,1.0,0.0004714285714285714,1.0,0.0004714285714285714,1.0,0.0004714285714285714,1.0,0.0004714285714285714,1.0,0.0004714285714285714,0.0,0.0,0.0,0.0,1.0,0.0004714285714285714,0.0066,0.0,0.0,28.0,0.0
1,PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,16.0,14.0,No,1.0,0.46511612455374857,0.0,0.0,1.0,0.029206664022213412,0.0,0.0,0.0,0.0,1.0,0.24971697738992465,1.0,0.5006508991141082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04259305169906122,0.0,0.0,1.0,0.0009735554674071136,1.0,0.001216944334258892,1.0,0.061090605579796384,1.0,0.35145352373396804,1.0,0.0009735554674071136,1.0,0.024338886685177842,1.0,0.32760141478249377,1.0,0.0014603332011106705,0.0,0.0,0.0,0.0,1.0,0.39282963109877034,2.4543333333333335,23.09269672,47.84930212,18.9108516,26.14188487
2,PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,32.0,14.0,No,1.0,0.10452327203551044,0.0,0.0,1.0,0.027928175861340093,0.0,0.0,0.0,0.0,1.0,0.2201072077784823,1.0,0.38021031494398644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025163009934474737,0.0,0.0,1.0,0.0027651659268653557,1.0,0.0008295497780596067,1.0,0.12166730078207565,1.0,0.7009695624603677,1.0,0.0011060663707461423,1.0,0.020738744451490168,1.0,0.2933841048404143,1.0,0.0008295497780596067,0.0,0.0,0.0,0.0,1.0,0.28011130839146053,2.180333333333333,23.99626736,38.91521816,17.97713735,26.88474829
3,PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,48.0,14.0,No,1.0,0.12485195779889885,0.0,0.0,1.0,0.012193995878318108,0.0,0.0,0.0,0.0,1.0,0.2682679093229984,1.0,0.33396988711513026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013649995386176984,0.0,0.0,1.0,0.0016379994463412385,1.0,0.001091999630894159,1.0,0.17089794223493585,1.0,0.6056957952692934,1.0,0.0005459998154470795,1.0,0.023659992002706774,1.0,0.18818793639076006,1.0,0.0023659992002706774,0.0,0.0,0.0,0.0,1.0,0.22495192396419672,1.9723333333333333,24.8392188,34.32591404,19.40697135,31.628060499999997
4,BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,0.0,17.0,No,0.0,0.0,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,28.0,0.0
5,BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,16.0,17.0,No,0.0,0.0,0.0,0.0,1.0,0.007412967675054188,1.0,0.17921939496748657,1.0,0.196516319542613,1.0,0.17166107498507838,0.0,0.0,0.0,0.0,1.0,0.05973979832249552,1.0,0.004505921527974115,1.0,0.016279458423648415,1.0,0.18924870417491282,1.0,0.20378393491031319,0.0,0.0,1.0,0.0027616938397260703,1.0,0.0002907046147080074,1.0,0.0780541890491,1.0,0.07151333521816983,1.0,0.0004360569220620111,1.0,0.016279458423648415,1.0,0.3411418653598467,1.0,0.001453523073540037,0.0,0.0,0.0,0.0,0.0,0.0,1.5423333333333333,15.42877712,48.66637932,38.993601,13.71602896
6,BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,32.0,17.0,No,0.0,0.0,0.0,0.0,1.0,0.0053505549177190964,1.0,0.13618025258323763,1.0,0.17812169919632603,1.0,0.17087256027554534,0.0,0.0,0.0,0.0,1.0,0.04919058553386912,1.0,0.005005357826253348,1.0,0.016396861844623037,1.0,0.10407692307692307,1.0,0.20660045924225026,0.0,0.0,1.0,0.0036245694603903554,1.0,0.0008629927286643704,1.0,0.10614810562571755,1.0,0.27063451970914654,1.0,0.00017259854573287408,1.0,0.01777765021048603,1.0,0.22938346727898964,1.0,0.0017259854573287408,0.0,0.0,0.0,0.0,0.0,0.0,1.5033333333333332,15.86674792,48.02475820000001,42.64385516,13.20005168
7,BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,48.0,17.0,No,0.0,0.0,0.0,0.0,1.0,0.007370776030085919,1.0,0.1692598204727003,1.0,0.23827708693623206,1.0,0.25851321749155887,0.0,0.0,0.0,0.0,1.0,0.04060627522029152,1.0,0.0022782398638447384,1.0,0.0033503527409481453,1.0,0.0166177495951028,1.0,0.0997064975706168,0.0,0.0,1.0,0.0025462680831205902,1.0,0.0002680282192758516,1.0,0.13414812374756374,1.0,0.3725592247934338,1.0,0.0005360564385517032,1.0,0.03390556973839523,1.0,0.2445757500892146,1.0,0.0008040846578275547,0.0,0.0,0.0,0.0,0.0,0.0,1.627333333333333,17.3248908,44.27463468,41.00652828,16.93067403
8,PJ-BO-BT-BC-BY-BA-CA-EL-FP-CH-AC-BH-CG-CC-DF,0.0,15.0,No,0.0,0.0,1.0,0.00044,0.0,0.0,0.0,0.0,1.0,0.00044,1.0,0.00044,1.0,0.00044,1.0,0.00044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00044,0.0,0.0,1.0,0.00044,1.0,0.00044,1.0,0.00044,1.0,0.00044,1.0,0.00044,1.0,0.00044,1.0,0.00044,0.0,0.0,0.0,0.0,1.0,0.00044,0.0,0.0,1.0,0.00044,0.0066,0.0,0.0,28.0,0.0
9,PJ-BO-BT-BC-BY-BA-CA-EL-FP-CH-AC-BH-CG-CC-DF,16.0,15.0,No,0.0,0.0,1.0,0.021199067599067596,0.0,0.0,0.0,0.0,1.0,0.24871048951048946,1.0,0.24473566433566427,1.0,0.4798181818181817,1.0,0.12170536130536129,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21388344988344984,0.0,0.0,1.0,0.08006433566433566,1.0,0.000757109557109557,1.0,0.000757109557109557,1.0,0.04977995337995337,1.0,0.2252400932400932,1.0,0.0011356643356643355,1.0,0.011356643356643355,0.0,0.0,0.0,0.0,1.0,0.027255944055944052,0.0,0.0,1.0,0.4336344988344987,2.165333333333333,25.93951568,45.5942904,16.28175639,18.88419378
